title,owner,like,view,mid,bvid,url,author_href,author,following,follower,like_author,video_view,article_view
当初我的前端讲师私底下告诉我的CSS布局网站，直接让你玩明白CSS布局,前端菌,2300,25792,1011940427,BV1rB4y1C7TF,https://www.bilibili.com/video/BV1rB4y1C7TF,https://space.bilibili.com/1011940427,前端菌,2,5489,70079,723575,0
时髦伦敦家庭的悠闲周末,internet-boy,4384,51191,415403269,BV1gY4y1t7wE,https://www.bilibili.com/video/BV1gY4y1t7wE,https://space.bilibili.com/415403269,internet-boy,0,949779,43354005,689573350,10736
5266秒杀极品成色，iPad Pro 2021-11-128插卡版，98新-电池106.5%-在保168天，嘎嘎靓！送壳膜,MUGEN车影,9,1415,351368669,BV1p3411K7X3,https://www.bilibili.com/video/BV1p3411K7X3,https://space.bilibili.com/351368669,MUGEN车影,101,4458,5990,490537,0
辞职5年，我们决定环游中国，抽到哪去哪！,苍苍老张,3571,31587,18995223,BV1UY4y1r79F,https://www.bilibili.com/video/BV1UY4y1r79F,https://space.bilibili.com/18995223,苍苍老张,262,130340,534140,11426952,0
「身法龙骑a闪」从百草园追到三味书屋！,是墨邪不是莫邪,35555,787667,477373612,BV1ZL4y1V7RS,https://www.bilibili.com/video/BV1ZL4y1V7RS,https://space.bilibili.com/477373612,是墨邪不是莫邪,8,72569,858791,16949031,0
【战争雷霆】|| 苏系10.0 ||  蓝贝雷苍穹神兵 海魂衫赤日雄鹰 (2S25M 章鱼SDM1轻型坦克测评）,AMthyst000,2090,30440,84136438,BV1bY4y1b7hT,https://www.bilibili.com/video/BV1bY4y1b7hT,https://space.bilibili.com/84136438,AMthyst000,145,5146,13937,255681,691
热辣辣花雕醉鸡！！真的好上头！辣椒都不要放过！！,丹妮妮妮妮2098,6859,210031,1110156033,BV1x5411278b,https://www.bilibili.com/video/BV1x5411278b,https://space.bilibili.com/1110156033,丹妮妮妮妮2098,41,176210,466169,17684546,0
孟加拉国三轮车兄弟跟老婆结婚领证，小情侣尽力帮助，他们好开心,大头小头去旅行,3186,45942,350605014,BV1Ua411f7CL,https://www.bilibili.com/video/BV1Ua411f7CL,https://space.bilibili.com/350605014,大头小头去旅行,9,133055,1069342,39974124,0
DNF这几个月的表现如何？我只能说依然是神,东方寒兔,15158,266558,3178205,BV1cU4y1S7x9,https://www.bilibili.com/video/BV1cU4y1S7x9,https://space.bilibili.com/3178205,东方寒兔,187,141851,1943580,27184232,0
以为是探监 没想到是国宴？！,贝贝被背背-,13492,176509,1914722886,BV1Vt4y1s7S9,https://www.bilibili.com/video/BV1Vt4y1s7S9,https://space.bilibili.com/1914722886,贝贝被背背-,16,209553,3208791,62510586,0
如果被别人否定而轻易放弃，那只能说明自己不够强大！,仙泽干将,16799,175732,480665999,BV1pA4y1Q7Z8,https://www.bilibili.com/video/BV1pA4y1Q7Z8,https://space.bilibili.com/480665999,仙泽干将,5,519961,4725378,98943306,0
二胎混血是小王子，亚美尼亚亲人和中国奶爸兴奋不已，有儿子了。,在亚美尼亚的强子,2911,14677,325005174,BV1AZ4y1h7cT,https://www.bilibili.com/video/BV1AZ4y1h7cT,https://space.bilibili.com/325005174,在亚美尼亚的强子,4,53002,647154,15852286,3160
【原神】一 键 毕 业,零点の咖啡,24361,583985,97008553,BV1FY4y1r7BF,https://www.bilibili.com/video/BV1FY4y1r7BF,https://space.bilibili.com/97008553,零点の咖啡,126,384,29717,692040,0
“你成就我，我成就你”,Aaron剪辑,91192,1063584,2116582757,BV1KF41177iw,https://www.bilibili.com/video/BV1KF41177iw,https://space.bilibili.com/2116582757,Aaron剪辑,94,3251,843096,14115550,0
咖啡拉花，共享“单车”，其实都是古人玩剩下的,高质量人类知识,90682,836142,404516766,BV1AY4y1k72y,https://www.bilibili.com/video/BV1AY4y1k72y,https://space.bilibili.com/404516766,高质量人类知识,55,2027,248629,4225157,0
猪姐五一假期竟然独自在家做这种事？,小猪姐姐zzreal,8830,128981,19696996,BV1NY4y1k7gx,https://www.bilibili.com/video/BV1NY4y1k7gx,https://space.bilibili.com/19696996,小猪姐姐zzreal,104,1252581,2337987,57856008,0
时停魔蕴老头：“ 救赎露露是嘛，看好了 还没救人就已经没了 ”,佰鹤羽,12767,326571,32367854,BV1kZ4y187QG,https://www.bilibili.com/video/BV1kZ4y187QG,https://space.bilibili.com/32367854,佰鹤羽,41,445794,7381787,172700803,2545
五花肉和干花菜爆炒小米辣和青辣椒 味道辛辣又刺激 超级好吃,吃饭啦光小强,5386,90903,69940927,BV1F54y1Z7H3,https://www.bilibili.com/video/BV1F54y1Z7H3,https://space.bilibili.com/69940927,吃饭啦光小强,80,916618,6947411,136220300,0
浩克：花木兰很好杀夏侯惇的！从此峡谷多了禁花木兰的夏侯惇！,王者荣耀浩克,1660,109213,29755025,BV17B4y1m7bD,https://www.bilibili.com/video/BV17B4y1m7bD,https://space.bilibili.com/29755025,王者荣耀浩克,35,232375,1522363,51281913,0
mini6-256  三位数哈哈哈哈,闲鱼小霸王,11,1050,20705571,BV1GF411T7MD,https://www.bilibili.com/video/BV1GF411T7MD,https://space.bilibili.com/20705571,闲鱼小霸王,82,7975,14825,1637770,0
当你在一局游戏和朋友选出五个“五五朋友节”皮肤！！那么兄弟齐心其利断金的时候到了！！！,经常口胡的管子,17441,351649,208668914,BV1Fa411J7Rt,https://www.bilibili.com/video/BV1Fa411J7Rt,https://space.bilibili.com/208668914,经常口胡的管子,587,177207,2902505,44129381,0
白灼生蚝怎么做才能保持鲜嫩肥美而不又柴又老？今天农师傅教你,主厨农国栋,8367,113464,415479453,BV1aB4y1y7C6,https://www.bilibili.com/video/BV1aB4y1y7C6,https://space.bilibili.com/415479453,主厨农国栋,13,1416789,15564711,255177704,0
如诗的季节 相信美好,摄影家罗红,69466,202374,696490107,BV1Jr4y1n77d,https://www.bilibili.com/video/BV1Jr4y1n77d,https://space.bilibili.com/696490107,摄影家罗红,11,140786,668397,3224006,0
王者什么时候出会员啊？不想看广告了！！,杨道理不吵架,11071,143138,406303364,BV1TB4y1y7Jj,https://www.bilibili.com/video/BV1TB4y1y7Jj,https://space.bilibili.com/406303364,杨道理不吵架,79,249970,1956496,28596206,0
【宋昕冉x袁一琦】最佳拍档一日vlog丨滑冰场丨保龄球馆 丨复古DV,一颗太阳星rr,3026,22330,218837365,BV19U4y117BK,https://www.bilibili.com/video/BV19U4y117BK,https://space.bilibili.com/218837365,一颗太阳星rr,20,55371,59472,1051847,0
你又曾见过我们的巅峰时期?,火影-落落,11916,185457,519526007,BV1iY4y1t7oz,https://www.bilibili.com/video/BV1iY4y1t7oz,https://space.bilibili.com/519526007,火影-落落,21,9173,183027,3740905,0
【procreate绘画视频教程】呕心沥血整理出来的，从零基础小白到大触你只差这个教程！,我的插画日记,1953,31582,1427481186,BV18A4y1S7xb,https://www.bilibili.com/video/BV18A4y1S7xb,https://space.bilibili.com/1427481186,我的插画日记,0,1388,3750,57111,0
你这么会格挡，柱间一定很强吧？！,茨木小天使i,38114,698159,49785517,BV1ot4y1x7mj,https://www.bilibili.com/video/BV1ot4y1x7mj,https://space.bilibili.com/49785517,茨木小天使i,188,661456,7817504,124139723,41347
一键sg（2）,Gentleman阎,1028,50239,71420808,BV1zU4y1m7AN,https://www.bilibili.com/video/BV1zU4y1m7AN,https://space.bilibili.com/71420808,Gentleman阎,89,92,1632,89173,0
【manim】初中生能听懂的微积分科普1.1斜率演示（第一次做的不好qwq）,文翰墨客_HD,3694,38261,523570822,BV1x3411P7kH,https://www.bilibili.com/video/BV1x3411P7kH,https://space.bilibili.com/523570822,文翰墨客_HD,487,1772,4064,41220,0
继续这么送，女朋友真的会栓Q ｜520送礼红黑榜,小鹿Lawrence,15095,105415,37029661,BV1s54y1Z7pH,https://www.bilibili.com/video/BV1s54y1Z7pH,https://space.bilibili.com/37029661,小鹿Lawrence,147,606892,1520264,19694168,6903
1999年5月7日，中国人永远不会忘,人民日报,80729,322500,1131457022,BV1xZ4y1h77b,https://www.bilibili.com/video/BV1xZ4y1h77b,https://space.bilibili.com/1131457022,人民日报,20,4370930,47004756,511891523,605666
“她最终还是说出了那一句Ich Iiebe dich”。,小然只为你,6582,62621,2058685170,BV1Q34y177NB,https://www.bilibili.com/video/BV1Q34y177NB,https://space.bilibili.com/2058685170,小然只为你,10,2805,223529,1821150,0
可以吃的《千里江山图》 来一套嘛？,范苏木,14357,181777,480530475,BV18U4y117jn,https://www.bilibili.com/video/BV18U4y117jn,https://space.bilibili.com/480530475,范苏木,10,73874,499685,23665912,0
【cs沙雕动画8】哇！从未如此美妙的开局！,ArKun阿鲲,65333,954980,18223324,BV1qR4y1P7d4,https://www.bilibili.com/video/BV1qR4y1P7d4,https://space.bilibili.com/18223324,ArKun阿鲲,124,263693,1025339,18329680,0
得知胡班为自己而亡，关羽一声“汝命休矣”王值身首异处,二棉裤说剧,6365,231337,1557073149,BV18F411L7UD,https://www.bilibili.com/video/BV18F411L7UD,https://space.bilibili.com/1557073149,二棉裤说剧,51,282658,1754133,71758950,0
出苍穹的花木兰还是巨猛！对手塔下都不安全，连人带塔一个不留！,王者荣耀浩克,675,20186,29755025,BV1BY411P7v6,https://www.bilibili.com/video/BV1BY411P7v6,https://space.bilibili.com/29755025,王者荣耀浩克,35,232375,1522366,51281913,0
离谱，这鸭子现在竟然要200多[热词系列_知识增加][tv_目瞪口呆],谌嘉诚,2278,24747,31898841,BV1NS4y1z7tM,https://www.bilibili.com/video/BV1NS4y1z7tM,https://space.bilibili.com/31898841,谌嘉诚,125,631619,2369645,35120113,95261
摄影师小岛海滩过夜，凌晨在房车厕所瞟见奇幻日出【唐僧VLOG-54】,旅行摄影师唐僧,4384,56302,405561962,BV17T4y1k7od,https://www.bilibili.com/video/BV17T4y1k7od,https://space.bilibili.com/405561962,旅行摄影师唐僧,45,139048,325892,3887447,0
首次有人用一个合集将23种经典设计模式的原理，背后思想，应用场景给讲透了！,马士兵教育-马贝贝,519,10880,489226940,BV1NT4y1z7Lo,https://www.bilibili.com/video/BV1NT4y1z7Lo,https://space.bilibili.com/489226940,马士兵教育-马贝贝,5,3973,19562,426311,57345
为啥主播第一天玩原就有绫华+雾切呀？ 【原神】,Asaki大人,15767,304599,194484313,BV1Pr4y1b7dy,https://www.bilibili.com/video/BV1Pr4y1b7dy,https://space.bilibili.com/194484313,Asaki大人,110,891177,2504668,26112606,0
“赛道级SUV”凌云S，打不过买菜车？,寻找驾驶者之车,32317,320219,1772592840,BV1XS4y1B7Wt,https://www.bilibili.com/video/BV1XS4y1B7Wt,https://space.bilibili.com/1772592840,寻找驾驶者之车,12,111094,533694,10197504,0
一节课讲透所有反应原理，很累但很干,化学教员张子涵,2045,19340,407270850,BV1kR4y1c7kB,https://www.bilibili.com/video/BV1kR4y1c7kB,https://space.bilibili.com/407270850,化学教员张子涵,5,36290,51825,669370,0
大齐赶海，抓到发光的海玉米和螃蟹，带回家蘸上小料吃一下,王大齐吖,16926,224817,388694853,BV1w3411K7Km,https://www.bilibili.com/video/BV1w3411K7Km,https://space.bilibili.com/388694853,王大齐吖,45,831852,8032400,145546531,0
【直播回放】高考历史答题逻辑，冲刺救命法则！| 刘勖雯-高考历史,刘勖雯政史地,871,16247,341071568,BV1tZ4y187dv,https://www.bilibili.com/video/BV1tZ4y187dv,https://space.bilibili.com/341071568,刘勖雯政史地,3,112497,94712,1720586,0
画画的人嘛，变态一点也正常,野居青年,21109,126168,176756724,BV1a3411A7ws,https://www.bilibili.com/video/BV1a3411A7ws,https://space.bilibili.com/176756724,野居青年,10,693940,5369915,66379790,483622
合 法 但 有 病！（我猜你不敢做）,隔壁班的喵会长,26415,336510,21330948,BV13t4y1x7J3,https://www.bilibili.com/video/BV13t4y1x7J3,https://space.bilibili.com/21330948,隔壁班的喵会长,465,1415497,6900064,82397173,296037
别让这孙策跑了！,两只沈梦溪,21437,208659,340273654,BV1vv4y1K76p,https://www.bilibili.com/video/BV1vv4y1K76p,https://space.bilibili.com/340273654,两只沈梦溪,99,722664,15105198,233583313,51181
【间谍过家家】日本限定主题咖啡厅是什么体验？,山下智博,17234,176258,1643718,BV1TR4y1P7HP,https://www.bilibili.com/video/BV1TR4y1P7HP,https://space.bilibili.com/1643718,山下智博,128,2661587,11692753,438183761,881008
不许叫我苦难陈述者，肥鸭也不行,流一,5323,36069,1481675,BV1AY4y1C76M,https://www.bilibili.com/video/BV1AY4y1C76M,https://space.bilibili.com/1481675,流一,49,383582,633078,8745685,0
虎母无犬女！,涵的世界,33210,618211,240744484,BV1tT4y1B74F,https://www.bilibili.com/video/BV1tT4y1B74F,https://space.bilibili.com/240744484,涵的世界,44,7247,1052099,16546643,0
【备考攻略】3周冲刺过CATTI一级口译考试的5个备考建议,TuesMagique,1503,22022,390189534,BV1d34y1a7Vp,https://www.bilibili.com/video/BV1d34y1a7Vp,https://space.bilibili.com/390189534,TuesMagique,45,567384,643592,10833796,24854
【土豆消灭计划】超下饭的油焖鸡和芥末干锅土豆片,神奇海挪,40757,453252,1916474,BV1K34y1E7Dw,https://www.bilibili.com/video/BV1K34y1E7Dw,https://space.bilibili.com/1916474,神奇海挪,195,1111731,9123953,131174537,0
不看你将错过一个致富机会！地摊销量最佳的淀粉肠被我找到了！,信口开饭,11044,393091,384328284,BV1KF411M75g,https://www.bilibili.com/video/BV1KF411M75g,https://space.bilibili.com/384328284,信口开饭,39,540935,3283921,184536226,2353
这个确实稳賺不赔呀 兄弟们、我发起了一个投票有人愿意给我转嘛……,自律的悍匪,2302,34246,73820664,BV1J34y1E7b1,https://www.bilibili.com/video/BV1J34y1E7b1,https://space.bilibili.com/73820664,自律的悍匪,55,567721,4200401,77461952,0
俄罗斯女孩变装挑战,internet-boy,5333,64355,415403269,BV1CA4y1U7NT,https://www.bilibili.com/video/BV1CA4y1U7NT,https://space.bilibili.com/415403269,internet-boy,0,949780,43354054,689573350,10736
【跟着老麦补柯南#1】这一棍！一敲就是25年！,哀是麦子的球迷,20358,214914,4370617,BV1K3411P7Ay,https://www.bilibili.com/video/BV1K3411P7Ay,https://space.bilibili.com/4370617,哀是麦子的球迷,79,997459,6348819,124667704,68815
【值得收藏】一文总结：常考全部高中物理图像问题！,物理界最好的段子手,6160,50936,323593541,BV1Kr4y187jT,https://www.bilibili.com/video/BV1Kr4y187jT,https://space.bilibili.com/323593541,物理界最好的段子手,60,134841,191243,4990340,0
五 五 厨 师 劫,花泽不是厨师,33526,510135,20780995,BV1YS4y18786,https://www.bilibili.com/video/BV1YS4y18786,https://space.bilibili.com/20780995,花泽不是厨师,61,570394,2621390,39706377,0
为了胜利！我去做志愿者了！——机车手亚瑟申请出战,印度胖亚瑟,18568,140254,300159010,BV1Mi4y1U7uh,https://www.bilibili.com/video/BV1Mi4y1U7uh,https://space.bilibili.com/300159010,印度胖亚瑟,208,868260,9020461,101157664,0
【于赓哲说历史】上官婉儿墓志背后，是怎样一场残酷的政治斗争？【直播精华】,于赓哲老师,11292,158779,523554877,BV1RL4y1c7mH,https://www.bilibili.com/video/BV1RL4y1c7mH,https://space.bilibili.com/523554877,于赓哲老师,65,502588,2258892,28118478,352428
画好战妆，小丑登场--颠覆性解读小丑⑨拉片,_风过大泽,18747,178928,550515990,BV1EB4y1m7Fc,https://www.bilibili.com/video/BV1EB4y1m7Fc,https://space.bilibili.com/550515990,_风过大泽,10,127540,471982,6074397,0
【原创】第8集|富人靠科技，穷人靠变异，但我这异能有啥用？,飞扬的素瓜豆,3222,20741,1949770306,BV1o34y1a73A,https://www.bilibili.com/video/BV1o34y1a73A,https://space.bilibili.com/1949770306,飞扬的素瓜豆,19,12313,62550,585817,0
周一氪几个648提波战力！这波运气非常好！,鬼叔黍,6524,114619,38568774,BV1gg411o7sR,https://www.bilibili.com/video/BV1gg411o7sR,https://space.bilibili.com/38568774,鬼叔黍,423,373392,3021752,33767025,0
【足太Penta】如果你能握住我的手【超会议欢迎回来！】,足太姬,3365,15975,15404697,BV1JY411F7Qz,https://www.bilibili.com/video/BV1JY411F7Qz,https://space.bilibili.com/15404697,足太姬,1,273374,947929,23730329,80555
乐高定格动画 爆肝五月新品10309多肉植物,李肥肥的生活,27743,240189,9609403,BV1aF411T7B9,https://www.bilibili.com/video/BV1aF411T7B9,https://space.bilibili.com/9609403,李肥肥的生活,140,5130,40822,641374,0
梁漱溟整理的民族十大品性,天真的和感伤的小说家,9314,96493,314521322,BV1Su411r7Uj,https://www.bilibili.com/video/BV1Su411r7Uj,https://space.bilibili.com/314521322,天真的和感伤的小说家,46,886963,3553587,41548725,99636
小婷说好久没吃炸鸡和汉堡，花99买个炸鸡套餐，过节人多真热闹,楊小婷,5974,125166,487418383,BV1x44y137QD,https://www.bilibili.com/video/BV1x44y137QD,https://space.bilibili.com/487418383,楊小婷,22,306439,5107410,107527024,0
VLOG.我独自生活·居家整理·画画·骑车看花花的简单日常,宋京墨,1281,20188,90786722,BV1jB4y197NW,https://www.bilibili.com/video/BV1jB4y197NW,https://space.bilibili.com/90786722,宋京墨,84,164592,498539,13028542,22465
雷律第二把专属来了，天殛之钥？天寄之钥！,傀儡的夜晚,11450,237461,6014199,BV1UY411c7br,https://www.bilibili.com/video/BV1UY411c7br,https://space.bilibili.com/6014199,傀儡的夜晚,285,225010,7862749,100683671,84877
聊聊父母与孩子（上）【欧丽娟】,歐麗娟,2570,28650,1867363969,BV1VU4y1m7NH,https://www.bilibili.com/video/BV1VU4y1m7NH,https://space.bilibili.com/1867363969,歐麗娟,3,440731,269692,4580010,0
坏掉的U盘先别扔 或许拯救下还能用 又能省下一笔不菲的开支,软件小棉袄,1092,29806,1111740218,BV1AY4y1t7Mp,https://www.bilibili.com/video/BV1AY4y1t7Mp,https://space.bilibili.com/1111740218,软件小棉袄,2,946,3850,95857,0
能不能让她帮我考教资,快乐源泉bot,9674,219862,3107068,BV1Va411E7bP,https://www.bilibili.com/video/BV1Va411E7bP,https://space.bilibili.com/3107068,快乐源泉bot,9,711131,39742300,743155650,2229
【亮记生物鉴定“冰狐”篇】神奇物种在哪里？,央视新闻,137326,1247843,456664753,BV1W94y1U7hM,https://www.bilibili.com/video/BV1W94y1U7hM,https://space.bilibili.com/456664753,央视新闻,19,9091862,212678085,1635081678,7702150
大力出奇迹！非洲一哥拼命硬钢，张继科连球都接不到一个！,一定要坚强呃,7896,245772,471024593,BV15L4y1F7Pt,https://www.bilibili.com/video/BV15L4y1F7Pt,https://space.bilibili.com/471024593,一定要坚强呃,9,1194,101426,2168404,0
VLOG｜英国七年，我找到一种生活的平衡,谭立人,1268,17606,347077636,BV1QS4y1b7bt,https://www.bilibili.com/video/BV1QS4y1b7bt,https://space.bilibili.com/347077636,谭立人,7,6583,7351,170712,0
眼睛画不对称怎么办？新手动漫眼睛教程，专治不对称。二次元手绘画法,柯小逸,15329,169850,413432914,BV1HY4y1h7e4,https://www.bilibili.com/video/BV1HY4y1h7e4,https://space.bilibili.com/413432914,柯小逸,61,153341,452211,7456774,0
论好看的手加上纹身能有多绝,PB阿星儿,21395,329151,13733433,BV1c44y1g7wE,https://www.bilibili.com/video/BV1c44y1g7wE,https://space.bilibili.com/13733433,PB阿星儿,305,662408,3905027,42188676,5717
高考前最后30天，我和我的朋友有话说！！||北大||复旦||同济||武大||北理||上财||央财||对外经贸,小哲要发光,2153,35242,55898947,BV1sa411a7yd,https://www.bilibili.com/video/BV1sa411a7yd,https://space.bilibili.com/55898947,小哲要发光,776,422,2404,41505,0
全网最保姆级的自行车改色、定制涂装教程,GiantBear,867,23332,166366907,BV1k5411R7tf,https://www.bilibili.com/video/BV1k5411R7tf,https://space.bilibili.com/166366907,GiantBear,743,576,1089,31476,0
300年前得眼病就靠它，中药做的如今没几人会用，民族品牌要振兴,人物微纪实,21623,346183,1856858706,BV1ba411Y7dT,https://www.bilibili.com/video/BV1ba411Y7dT,https://space.bilibili.com/1856858706,人物微纪实,2,17549,195782,3018074,0
